Date,Open,High,Low,Close,Adj Close,Volume,Common Shares Outstanding,Avg. Basic Shares Outstanding,Avg. Diluted Shares Outstanding,Share Price,Market Capitalisation,Revenues,COGS,SG&A,R&D,EBIT,EBITDA,"Interest expense, net",Abnormal Gains/Losses,Income Taxes,Net Income from Discontinued Op.,Net Profit,Dividends,"Cash, Cash Equivalents & Short Term Investments",Cash & Cash Equivalents,Short Term Investments,Receivables,Current Assets,Net PP&E,Intangible Assets,Goodwill,Total Noncurrent Assets,Total Assets,Short term debt,Accounts Payable,Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity,Share Capital,Treasury Stock,Retained Earnings,Equity Before Minorities,Minorities,Total Equity,Depreciation & Amortisation,Change in Working Capital,Cash From Operating Activities,Net Change in PP&E & Intangibles,Cash From Investing Activities,Cash From Financing Activities,Net Change in Cash,Free Cash Flow,Gross Margin,Operating Margin,Net Profit Margin,Return on Equity,Return on Assets,Current Ratio,Liabilities to Equity Ratio,Debt to Assets Ratio,EV / EBITDA,EV / Sales,Book to Market,Operating Income / EV,Enterprise Value,Returns
2009-11-10,28.9,29.280001,28.809999,29.01,22.810621,65881100,8900000,8914000,8983000,22.89,203721,12920,2842,3531,2065,4482,5128,0,0,1191,0,3574,-1157,36728,8823,27905,8587,52231,7512,1653,12582,29381,81612,2250,3287,28761,3746,11639,40400,0,62293,0,-21081,41212,0,41212,646,7802,6107,-435,-1199,-2190,2747,11304,0.78,0.3469,0.2766,0.0867,0.0438,1.816,0.9803,0.0735,32.3805,12.8519,0.2094,0.027,166047,0.000689893066575
2009-11-11,29.08,29.299999,29.02,29.120001,22.89712,49693400,8900000,8914000,8983000,22.98,204522,12920,2842,3531,2065,4482,5128,0,0,1191,0,3574,-1157,36728,8823,27905,8587,52231,7512,1653,12582,29381,81612,2250,3287,28761,3746,11639,40400,0,62293,0,-21081,41212,0,41212,646,7802,6107,-435,-1199,-2190,2747,11304,0.78,0.3469,0.2766,0.0867,0.0438,1.816,0.9803,0.0735,32.3805,12.8519,0.2094,0.027,166047,0.003791830403309
2009-11-12,29.01,29.49,29,29.360001,23.085821,55352400,8900000,8914000,8983000,23.17,206213,12920,2842,3531,2065,4482,5128,0,0,1191,0,3574,-1157,36728,8823,27905,8587,52231,7512,1653,12582,29381,81612,2250,3287,28761,3746,11639,40400,0,62293,0,-21081,41212,0,41212,646,7802,6107,-435,-1199,-2190,2747,11304,0.78,0.3469,0.2766,0.0867,0.0438,1.816,0.9803,0.0735,32.3805,12.8519,0.2094,0.027,166047,0.008241757958731
2009-11-13,29.469999,29.790001,29.370001,29.629999,23.29812,53037600,8900000,8914000,8983000,23.38,208082,12920,2842,3531,2065,4482,5128,0,0,1191,0,3574,-1157,36728,8823,27905,8587,52231,7512,1653,12582,29381,81612,2250,3287,28761,3746,11639,40400,0,62293,0,-21081,41212,0,41212,646,7802,6107,-435,-1199,-2190,2747,11304,0.78,0.3469,0.2766,0.0867,0.0438,1.816,0.9803,0.0735,32.3805,12.8519,0.2094,0.027,166047,0.009196116852993
2009-11-16,29.610001,29.799999,29.370001,29.540001,23.22736,54129500,8900000,8914000,8983000,23.31,207459,12920,2842,3531,2065,4482,5128,0,0,1191,0,3574,-1157,36728,8823,27905,8587,52231,7512,1653,12582,29381,81612,2250,3287,28761,3746,11639,40400,0,62293,0,-21081,41212,0,41212,646,7802,6107,-435,-1199,-2190,2747,11304,0.78,0.3469,0.2766,0.0867,0.0438,1.816,0.9803,0.0735,32.3805,12.8519,0.2094,0.027,166047,-0.003037394635079
2009-11-17,29.5,30,29.469999,30,23.693323,75648900,8900000,8914000,8983000,23.78,211642,12920,2842,3531,2065,4482,5128,0,0,1191,0,3574,-1157,36728,8823,27905,8587,52231,7512,1653,12582,29381,81612,2250,3287,28761,3746,11639,40400,0,62293,0,-21081,41212,0,41212,646,7802,6107,-435,-1199,-2190,2747,11304,0.78,0.3469,0.2766,0.0867,0.0438,1.816,0.9803,0.0735,32.3805,12.8519,0.2094,0.027,166047,0.015572071239944
2009-11-18,30,30.139999,29.809999,30.110001,23.780207,59431200,8900000,8914000,8983000,23.86,212354,12920,2842,3531,2065,4482,5128,0,0,1191,0,3574,-1157,36728,8823,27905,8587,52231,7512,1653,12582,29381,81612,2250,3287,28761,3746,11639,40400,0,62293,0,-21081,41212,0,41212,646,7802,6107,-435,-1199,-2190,2747,11304,0.78,0.3469,0.2766,0.0867,0.0438,1.816,0.9803,0.0735,32.3805,12.8519,0.2094,0.027,166047,0.0036667
2009-11-19,29.99,30,29.700001,29.780001,23.519581,51967700,8900000,8914000,8983000,23.6,210040,12920,2842,3531,2065,4482,5128,0,0,1191,0,3574,-1157,36728,8823,27905,8587,52231,7512,1653,12582,29381,81612,2250,3287,28761,3746,11639,40400,0,62293,0,-21081,41212,0,41212,646,7802,6107,-435,-1199,-2190,2747,11304,0.78,0.3469,0.2766,0.0867,0.0438,1.816,0.9803,0.0735,32.3805,12.8519,0.2094,0.027,166047,-0.010959813651285
2009-11-20,29.66,29.77,29.43,29.620001,23.393213,42647100,8900000,8914000,8983000,23.48,208972,12920,2842,3531,2065,4482,5128,0,0,1191,0,3574,-1157,36728,8823,27905,8587,52231,7512,1653,12582,29381,81612,2250,3287,28761,3746,11639,40400,0,62293,0,-21081,41212,0,41212,646,7802,6107,-435,-1199,-2190,2747,11304,0.78,0.3469,0.2766,0.0867,0.0438,1.816,0.9803,0.0735,32.3805,12.8519,0.2094,0.027,166047,-0.005372733197692
2009-11-23,29.84,30.01,29.700001,29.940001,23.645941,41832700,8900000,8914000,8983000,23.73,211197,12920,2842,3531,2065,4482,5128,0,0,1191,0,3574,-1157,36728,8823,27905,8587,52231,7512,1653,12582,29381,81612,2250,3287,28761,3746,11639,40400,0,62293,0,-21081,41212,0,41212,646,7802,6107,-435,-1199,-2190,2747,11304,0.78,0.3469,0.2766,0.0867,0.0438,1.816,0.9803,0.0735,32.3805,12.8519,0.2094,0.027,166047,0.010803510776384
