MSFT,59265,101003,Share Price,2009-02-25,13.23
MSFT,59265,101003,Market Capitalisation,2009-02-25,121067.73
MSFT,59265,101003,Share Price,2009-02-26,12.80
MSFT,59265,101003,Market Capitalisation,2009-02-26,117132.8
MSFT,59265,101003,Share Price,2009-02-27,12.59
MSFT,59265,101003,Market Capitalisation,2009-02-27,115211.09
MSFT,59265,101003,Market Capitalisation,2009-02-28,115211.09
MSFT,59265,101003,Share Price,2009-03-02,12.31
MSFT,59265,101003,Market Capitalisation,2009-03-02,112648.81
MSFT,59265,101003,Share Price,2009-03-03,12.38
MSFT,59265,101003,Market Capitalisation,2009-03-03,113289.38
MSFT,59265,101003,Share Price,2009-03-04,12.57
MSFT,59265,101003,Market Capitalisation,2009-03-04,115028.07
MSFT,59265,101003,Share Price,2009-03-05,11.91
MSFT,59265,101003,Market Capitalisation,2009-03-05,108988.41
MSFT,59265,101003,Share Price,2009-03-06,11.92
MSFT,59265,101003,Market Capitalisation,2009-03-06,109079.92
MSFT,59265,101003,Share Price,2009-03-09,11.81
MSFT,59265,101003,Market Capitalisation,2009-03-09,108073.31
MSFT,59265,101003,Share Price,2009-03-10,12.85
MSFT,59265,101003,Market Capitalisation,2009-03-10,117590.35
MSFT,59265,101003,Share Price,2009-03-11,13.34
MSFT,59265,101003,Market Capitalisation,2009-03-11,122074.34
MSFT,59265,101003,Share Price,2009-03-12,13.26
MSFT,59265,101003,Market Capitalisation,2009-03-12,121342.26
MSFT,59265,101003,Share Price,2009-03-13,12.98
MSFT,59265,101003,Market Capitalisation,2009-03-13,118779.98
MSFT,59265,101003,Share Price,2009-03-16,12.67
MSFT,59265,101003,Market Capitalisation,2009-03-16,115943.17
MSFT,59265,101003,Share Price,2009-03-17,13.18
MSFT,59265,101003,Market Capitalisation,2009-03-17,120610.18
MSFT,59265,101003,Share Price,2009-03-18,13.23
MSFT,59265,101003,Market Capitalisation,2009-03-18,121067.73
MSFT,59265,101003,Share Price,2009-03-19,13.37
MSFT,59265,101003,Market Capitalisation,2009-03-19,122348.87
MSFT,59265,101003,Share Price,2009-03-20,13.30
MSFT,59265,101003,Market Capitalisation,2009-03-20,121708.3
MSFT,59265,101003,Share Price,2009-03-23,14.29
MSFT,59265,101003,Market Capitalisation,2009-03-23,130767.79
MSFT,59265,101003,Share Price,2009-03-24,13.94
MSFT,59265,101003,Market Capitalisation,2009-03-24,127564.94
MSFT,59265,101003,Share Price,2009-03-25,13.94
MSFT,59265,101003,Market Capitalisation,2009-03-25,127564.94
MSFT,59265,101003,Share Price,2009-03-26,14.68
MSFT,59265,101003,Market Capitalisation,2009-03-26,134336.68
MSFT,59265,101003,Share Price,2009-03-27,14.14
MSFT,59265,101003,Market Capitalisation,2009-03-27,129395.14
MSFT,59265,101003,Market Capitalisation,2009-03-28,129395.14
MSFT,59265,101003,Market Capitalisation,2009-03-29,129395.14
